City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
323,Liverpool,GB,53.4106,-2.9779,65.98,80,90,2.3,overcast clouds
324,Hambantota,LK,6.1241,81.1185,80.15,75,90,19.55,overcast clouds
325,Filadelfia,US,39.9523,-75.1638,92.07,59,75,1.01,broken clouds
326,Guerrero Negro,MX,27.9769,-114.0611,78.33,66,27,12.12,scattered clouds
327,Constitucion,CL,-35.3333,-72.4167,55.06,63,99,3.91,overcast clouds
328,Kazachinskoye,RU,57.6953,93.2761,58.03,91,100,5.84,overcast clouds
329,Flinders,AU,-34.5833,150.8552,53.8,83,1,1.01,clear sky
330,Tavda,RU,58.0425,65.2726,66.94,59,3,6.29,clear sky
331,Nanning,CN,22.8167,108.3167,79.38,90,99,12.88,overcast clouds
332,Anchorage,US,61.2181,-149.9003,53.98,89,90,0.0,overcast clouds
333,Kalmunai,LK,7.4167,81.8167,81.66,80,93,5.14,overcast clouds
334,Nanakuli,US,21.3906,-158.1547,76.95,76,20,5.75,few clouds
335,Lagoa,PT,39.05,-27.9833,73.94,80,39,3.94,scattered clouds
336,Sao Francisco Do Sul,BR,-26.2433,-48.6381,67.1,91,97,1.32,moderate rain
337,Zhigansk,RU,66.7697,123.3711,49.37,68,100,12.28,overcast clouds
338,Louis Trichardt,ZA,-23.0439,29.9032,51.84,81,97,10.38,overcast clouds
339,Shenjiamen,CN,29.9576,122.298,77.07,91,100,5.48,light rain
340,Half Moon Bay,US,37.4636,-122.4286,75.47,85,75,0.0,broken clouds
341,Jumla,NP,29.2747,82.1838,62.01,91,75,2.59,broken clouds
342,San Martin,AR,-33.081,-68.4681,60.39,22,3,6.46,clear sky
343,Los Llanos De Aridane,ES,28.6585,-17.9182,74.95,69,20,18.41,few clouds
344,Kavieng,PG,-2.5744,150.7967,83.23,75,48,16.51,scattered clouds
